"","Species","Range_size_km","Bill_Nares","Bill_Width","Bill_Depth","Tarsus_Length","Secondary1","Wing_Chord","Hand.Wing.Index..Claramunt.2011.","Tail_Length","Mass","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial"
"549","Abroscopus_schisticeps",1556508.33507249,4.675,2.6,2.325,16.525,39.525,47.125,16.12581814,47.5,4.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
"1","Accipiter_badius",25153174.6947715,12.0875,8.8125,11.75,43.1625,127.4125,189.9375,32.93687093,142.5,131.15,10,30,60,0,0,0,0,0,0,0,0,0,50,0,50,0,0
"550","Accipiter_bicolor",17071783.4190752,14.7825,9.5675,13.628,59.382,189.61,236,19.76708869,191.1,287.54,0,100,0,0,0,0,0,0,0,0,0,0,0,33,33,33,0
"2","Accipiter_cooperii",9700159.94417177,13.9,8.325,13.275,61.35,163.5,241.25,32.25656531,189.25,429.67,0,90,10,0,0,0,0,0,0,0,0,0,40,20,20,10,10
"3","Accipiter_gentilis",45873413.6512547,19.625,11.575,17.95,71.75,218.25,343.75,36.49091967,234,866.04,0,90,10,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"551","Accipiter_gularis",5964539.93999778,9.5,6.75,8.825,42.225,109.05,163.25,33.17742543,104,120.66,10,80,10,0,0,0,0,0,0,0,0,0,10,10,60,10,10
"552","Accipiter_melanoleucus",11343832.7460084,18.05,10.525,16.125,75.775,200.75,308,35.02416184,220.5,698.99,0,90,10,0,0,0,0,0,0,0,0,0,10,30,40,20,0
"4","Accipiter_nisus",29225000.4993211,11.3,9.025,10.65,52.65,136.65,212.25,35.51488815,170,220.79,0,100,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20
"553","Accipiter_poliogaster",7408979.67494507,14.95,8.225,13.2,54.7,172.2,244.75,29.63450404,174.25,1369.41,0,0,0,0,100,0,0,0,0,0,0,0,0,0,33,33,33
"554","Accipiter_soloensis",3374510.07043714,11.425,8.6,9.475,38.15,114.4,187.5,38.99291154,121,164.77,10,20,70,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"5","Accipiter_striatus",19325607.4882601,10.5,8.725,10.4,49.775,124.225,184.25,32.52265538,144.25,130.59,0,100,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25
"555","Accipiter_superciliosus",10347667.411562,10.8,6.725,10.25,35.75,105.175,143.75,26.8397185,101.5,99.51,0,80,20,0,0,0,0,0,0,0,0,0,0,0,33,33,33
"556","Accipiter_trivirgatus",6761472.20755491,16.4875,10.375,14.225,55.7625,171,222.625,23.22326483,178.375,265.04,20,60,20,0,0,0,0,0,0,0,0,0,33,33,33,0,0
"557","Accipiter_virgatus",7284459.00813927,11.15,7.375,10.0875,47.5,123.1142857,170.4285714,27.55442673,124.875,116.99,20,60,20,0,0,0,0,0,0,0,0,0,50,0,30,20,0
"558","Acridotheres_cristatellus",4507648.13836991,15.075,6,8.125,38.275,100.25,131.375,23.69860618,79.25,116.31,50,0,0,0,0,10,40,0,0,0,0,0,0,50,50,0,0
"6","Acridotheres_fuscus",3760524.13753512,16.125,6.825,7.275,36.75,93.55,124.25,24.7162719,75.875,82.8,40,0,0,0,0,0,30,10,20,0,0,0,50,30,20,0,0
"7","Acridotheres_ginginianus",2428153.00271308,14.2,5.375,6.525,34.925,90.525,119.625,24.33165815,76.75,72,40,0,10,0,0,0,20,10,20,0,0,0,50,30,20,0,0
"8","Acridotheres_tristis",15253781.6837105,15.75,6.625,8.25,38.175,108.25,138.5,21.84696376,82.875,116.43,40,10,10,10,0,0,10,10,10,0,0,0,70,20,10,0,0
"559","Acrocephalus_arundinaceus",21454910.8906393,12.9,4.6125,5.1,27.33111111,64.2125,87.22222222,25.05695573,75.22222222,30,70,0,20,0,0,0,10,0,0,0,0,20,20,60,0,0,0
"560","Acrocephalus_australis",8791159.07648945,10.575,3.675,3.875,23.8,54.95,71.25,22.8681294,66.25,17.7,100,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0
"561","Acrocephalus_gracilirostris",7408979.67494507,9.9,3.625,3.55,23.475,54.95,62.875,12.61486906,56.625,14.4,80,0,20,0,0,0,0,0,0,0,0,20,20,60,0,0,0
"562","Acrocephalus_melanopogon",4482744.00500875,7.225,2.6,2.45,18.725,43.9,53.75,18.33221024,48.25,10.9,90,0,0,0,0,0,10,0,0,0,0,0,40,60,0,0,0
"563","Acrocephalus_scirpaceus",17445345.4194926,8.775,3.425,2.85,21.9,50.75,65.25,22.22282925,50.25,12.3,70,0,0,0,0,0,10,0,10,10,0,0,20,80,0,0,0
"9","Acrocephalus_stentoreus",8019130.94229349,15.75,4.175,4.75,27.525,61.4,77.625,20.85264587,76.25,24.2,80,0,10,0,0,0,0,0,10,0,0,20,20,60,0,0,0
"564","Actinodura_egertoni",759576.067515378,8.875,4.05,5.075,28.025,74.625,83.75,10.8499953,110.25,36,60,0,0,0,0,0,20,0,20,0,0,0,0,0,80,20,0
"565","Actinodura_nipalensis",323753.733695078,10.25,3.95,4.925,30.35,73.175,87.75,16.57097052,83.75,43.87,60,0,0,0,0,0,10,10,10,10,0,0,0,20,80,0,0
"566","Actinodura_ramsayi",834288.467598858,10.45,4.65,6.25,28.025,81.475,88.25,7.661138435,127.25,38.4,80,0,0,0,0,0,0,0,0,20,0,0,0,50,50,0,0
"10","Aegithalos_caudatus",27319834.2971923,4.5375,2.6125,3.3,15.63888889,46.25,59.11111111,21.08594714,76.44444444,8.6,60,0,0,0,0,0,10,10,10,10,0,0,10,40,10,40,0
"567","Aegithalos_concinnus",4457839.87164759,4.35,2.425,3.05,15,39.95,48.5,17.63180272,50.875,6.1,70,0,0,0,0,0,20,0,10,0,0,0,0,80,0,20,0
"568","Aegithina_tiphia",8778707.00980888,10.675,4.2,4.4125,20.0875,55.35,61.125,9.442634919,48.8125,12,100,0,0,0,0,0,0,0,0,0,0,0,0,0,20,80,0
"569","Aegolius_acadicus",13149382.4146924,9.925,7.35,10.85,23.5,95.05,135.25,29.78209542,78,100.69,20,80,0,0,0,0,0,0,0,0,0,0,90,10,0,0,0
