"Species","PC1","PC2","PC3","Range_size","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial"
"Abroscopus_schisticeps",-2.30655865796943,0.324767724118895,-0.214092023655554,14.2579562663225,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
"Accipiter_badius",1.52609183335732,0.211973460023926,-0.312280008690164,17.0404947167085,10,30,60,0,0,0,0,0,0,0,0,0,50,0,50,0,0
"Accipiter_bicolor",2.30983146252091,0.407178722229711,-0.300438144654168,16.6529376246953,0,100,0,0,0,0,0,0,0,0,0,0,0,33,33,33,0
"Accipiter_cooperii",2.38436368072879,0.62085881918991,-0.0813644467413039,16.0876530355186,0,90,10,0,0,0,0,0,0,0,0,0,40,20,20,10,10
"Accipiter_gentilis",3.31264611925533,0.477741477974182,-0.111208437369682,17.6413963057311,0,90,10,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"Accipiter_gularis",1.03455115031046,0.469903335963445,-0.108653727954337,15.6013426516252,10,80,10,0,0,0,0,0,0,0,0,0,10,10,60,10,10
"Accipiter_melanoleucus",3.0623022628567,0.538896324794641,-0.136827011527774,16.2441848719704,0,90,10,0,0,0,0,0,0,0,0,0,10,30,40,20,0
"Accipiter_nisus",1.84932599532701,0.518646730986249,-0.225148184825594,17.1905351166251,0,100,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20
"Accipiter_poliogaster",2.83457036364731,0.824568821317457,0.546847592461034,15.8182034270738,0,0,0,0,100,0,0,0,0,0,0,0,0,0,33,33,33
"Accipiter_soloensis",1.41501032955762,0.332149136702595,-0.0646294940784379,15.0317610037758,10,20,70,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"Accipiter_striatus",1.45818509571551,0.366460083508711,-0.330287581615186,16.7769416390448,0,100,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25
"Accipiter_superciliosus",0.937192141962723,0.208385340195887,-0.0923925526662608,16.1522717780524,0,80,20,0,0,0,0,0,0,0,0,0,0,0,33,33,33
"Accipiter_trivirgatus",2.28655901009421,0.20640978746902,-0.268270505194527,15.7267513543875,20,60,20,0,0,0,0,0,0,0,0,0,33,33,33,0,0
"Accipiter_virgatus",1.2715442311203,0.359518243021611,-0.278894346230403,15.8012538710672,20,60,20,0,0,0,0,0,0,0,0,0,50,0,30,20,0
"Acridotheres_cristatellus",0.895508329902275,0.181374876722738,0.0975148210799768,15.3212863202277,50,0,0,0,0,10,40,0,0,0,0,0,0,50,50,0,0
"Acridotheres_fuscus",0.738360986082433,0.00788529758182363,-0.0130600369324834,15.140069169852,40,0,0,0,0,0,30,10,20,0,0,0,50,30,20,0,0
"Acridotheres_ginginianus",0.483417304663341,0.203556423891661,-0.023762035181998,14.7026418569561,40,0,10,0,0,0,20,10,20,0,0,0,50,30,20,0,0
"Acridotheres_tristis",0.997619052912646,0.12994279774343,0.0391670478356115,16.5403380750931,40,10,10,10,0,0,10,10,10,0,0,0,70,20,10,0,0
"Acrocephalus_arundinaceus",-0.287052542914737,0.0585319589900856,-0.139178071231112,16.8814641696941,70,0,20,0,0,0,10,0,0,0,0,20,20,60,0,0,0
"Acrocephalus_australis",-0.89817011195086,0.14844372020387,-0.159457834620434,15.9892572378007,100,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0
"Acrocephalus_gracilirostris",-1.14267038817608,0.0936659597137139,-0.11968228774968,15.8182034270738,80,0,20,0,0,0,0,0,0,0,0,20,20,60,0,0,0
"Acrocephalus_melanopogon",-1.74991266834419,0.355764803977417,0.0116417235046257,15.3157461410846,90,0,0,0,0,0,10,0,0,0,0,0,40,60,0,0,0
"Acrocephalus_scirpaceus",-1.35389244791095,0.214295826891543,-0.140263238998658,16.6745834902157,70,0,0,0,0,0,10,0,10,10,0,0,20,80,0,0,0
"Acrocephalus_stentoreus",-0.411811233129429,-0.0415090815968467,-0.1877651965762,15.8973407373629,80,0,10,0,0,0,0,0,10,0,0,20,20,60,0,0,0
"Actinodura_egertoni",-0.28690520821072,0.430264973789703,-0.139329603173574,13.5405170672531,60,0,0,0,0,0,20,0,20,0,0,0,0,0,80,20,0
"Actinodura_nipalensis",-0.203931727795898,0.411420084429648,-0.0176065759844559,12.687741513341,60,0,0,0,0,0,10,10,10,10,0,0,0,20,80,0,0
"Actinodura_ramsayi",-0.0332478808087043,0.24202229092653,-0.201059147791186,13.6343357045732,80,0,0,0,0,0,0,0,0,20,0,0,0,50,50,0,0
"Aegithalos_caudatus",-1.76896824905219,0.497710552268465,-0.236725354379795,17.1231235639954,60,0,0,0,0,0,10,10,10,10,0,0,10,40,10,40,0
"Aegithalos_concinnus",-2.17875708339355,0.339110280242137,-0.118189939762089,15.3101750972814,70,0,0,0,0,0,20,0,10,0,0,0,0,80,0,20,0
"Aegithina_tiphia",-1.1750575424995,-0.232157286478119,-0.106982649618798,15.987839803281,100,0,0,0,0,0,0,0,0,0,0,0,0,0,20,80,0
"Aegolius_acadicus",0.743321374164897,9.16699791801701e-05,0.167129704943024,16.3918854268722,20,80,0,0,0,0,0,0,0,0,0,0,90,10,0,0,0
"Aegolius_funereus",1.13032108776322,0.159314556238583,0.0712885519482511,17.2302145741136,30,70,0,0,0,0,0,0,0,0,0,0,90,10,0,0,0
"Aegolius_harrisii",1.04468153352191,-0.0921584751172908,0.128014845946222,14.5536063439835,50,50,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0
"Aegypius_monachus",6.03103662323704,0.0186387031697788,0.123522657436203,16.879721503055,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0
"Aeronautes_saxatalis",-1.29163109031154,1.11707088562138,0.259797049171663,14.963031692707,100,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,90
"Aethopyga_bella",-2.3145342247272,-0.505241209756166,0.0389861152500748,13.5727778876769,50,0,0,0,0,0,0,50,0,0,0,0,0,40,30,30,0
"Aethopyga_christinae",-1.92999811138854,-0.432382309441536,-0.10194630774406,14.7026418569561,20,0,0,0,0,0,0,30,50,0,0,0,0,50,50,0,0
"Aethopyga_flagrans",-1.89299404237612,-0.42777608862415,0.0685886623404711,12.8308419451472,50,0,0,0,0,0,0,50,0,0,0,0,0,50,50,0,0
"Aethopyga_gouldiae",-1.78592743689273,-0.213371351509532,-0.345882010840819,15.3017599022518,50,0,0,0,0,0,0,50,0,0,0,0,20,30,30,20,0
"Aethopyga_ignicauda",-1.39601061412038,-0.227284919762858,-0.254255173404395,14.2003271915981,50,0,0,0,0,0,0,50,0,0,0,0,0,70,10,0,20
"Aethopyga_nipalensis",-1.59487518506711,-0.454936437821704,-0.135287595993025,14.5233925800503,50,0,0,0,0,0,0,50,0,0,0,0,0,30,40,30,0
"Aethopyga_pulcherrima",-1.84827786326477,-0.622439099020424,0.0564499270372067,13.2363061609467,50,0,0,0,0,0,0,50,0,0,0,0,0,50,50,0,0
"Aethopyga_saturata",-1.65453168917018,-0.428843400146572,-0.31024840607935,15.013138497248,40,0,0,0,0,0,0,60,0,0,0,0,10,30,30,30,0
"Aethopyga_siparaja",-1.63786062812637,-0.418461632536603,-0.140862613692167,15.8398169006084,50,0,0,0,0,0,0,50,0,0,0,0,0,70,10,20,0
"Agelaioides_badius",-0.0024357908478126,-0.127706313279185,0.0882414733586545,15.3485359567115,60,0,0,0,0,0,0,0,40,0,0,0,50,30,20,0,0
"Agelaius_phoeniceus",0.451471106615945,-0.106686830092939,-0.180887144351375,16.2648265590567,50,0,0,0,0,0,0,0,50,0,0,0,90,10,0,0,0
"Agelaius_tricolor",0.317160823114694,0.0580359512954289,-0.0253987460633953,12.52068799027,70,0,0,0,0,0,0,0,30,0,0,0,100,0,0,0,0
"Agelasticus_cyanopus",0.0661370757469323,-0.2702442509466,-0.0819174382560874,15.2165395142669,40,0,0,0,0,0,0,0,60,0,0,0,70,30,0,0,0
"Agelasticus_thilius",-0.0777420283662551,-0.147401005265589,-0.171920690193988,15.03911397591,50,0,0,0,0,0,0,0,50,0,0,0,70,30,0,0,0
"Agriornis_lividus",1.00737324564542,0.00560270932097909,-0.0625257819080709,13.9182791586251,40,30,30,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"Agriornis_micropterus",0.686518422252862,0.00292876537308322,-0.153476520561338,15.089124382135,40,30,30,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"Agriornis_montanus",0.551222606389265,0.163676804994669,-0.179113521797677,14.930900424889,30,30,20,0,0,0,0,0,20,0,0,0,100,0,0,0,0
"Aimophila_botterii",-0.76016153021145,-0.222583435299097,-0.00167170817377393,14.4402777160393,80,0,0,0,0,0,0,0,20,0,0,0,70,30,0,0,0
"Aimophila_carpalis",-1.07378176615735,-0.0640000328306312,-0.0519710671774702,12.8308419451472,20,0,0,0,0,0,0,0,80,0,0,0,60,20,20,0,0
"Aimophila_cassinii",-0.892299831013399,-0.0108450536809424,-0.0352711849554022,14.5829339452623,60,0,0,0,0,0,0,0,30,10,0,0,70,30,0,0,0
"Aimophila_rufescens",-0.074559613010729,-0.400494905876299,0.0152323342980996,14.1209905055559,60,0,0,0,0,0,0,0,40,0,0,0,100,0,0,0,0
"Aimophila_ruficeps",-1.00629416311913,-0.0117960223337001,0.0469765227013215,14.7862285400398,50,0,0,0,0,0,0,0,50,0,0,0,60,20,20,0,0
"Alaemon_alaudipes",0.270553713581271,0.123331179194503,-0.274471365746946,16.4935459167269,70,0,10,0,0,0,0,0,10,10,0,0,100,0,0,0,0
"Alauda_arvensis",-0.306757501385499,0.371236153661877,-0.0646139517749201,16.7665788525482,40,0,0,0,0,0,0,0,40,20,0,0,100,0,0,0,0
"Alauda_gulgula",-0.666537354701014,0.170207381375948,-0.00215914686363078,16.1900566706969,50,0,0,0,0,0,0,0,50,0,0,0,100,0,0,0,0
"Alcedo_atthis",-0.398941376244831,-1.15751653681623,0.523808918786383,17.1483274174477,30,0,0,70,0,0,0,0,0,0,100,0,0,0,0,0,0
"Alcedo_cristata",-0.970688983291403,-1.31052694491293,0.441935484829489,16.6492839854781,40,0,30,30,0,0,0,0,0,0,60,20,10,10,0,0,0
"Alcedo_cyanopectus",-0.680577249942531,-1.41381333285008,0.532818390748069,13.0131630557869,50,0,0,50,0,0,0,0,0,0,100,0,0,0,0,0,0
"Alcedo_semitorquata",0.133977389372925,-1.2615477281194,0.52348281202058,15.4359952439613,30,0,10,60,0,0,0,0,0,0,90,0,0,10,0,0,0
"Alcippe_brunnea",-1.28959721705433,0.256377447922746,0.0939576573094241,14.3994557438268,70,0,0,0,0,0,0,0,30,0,0,0,50,50,0,0,0
"Alcippe_castaneceps",-1.76163447519676,0.362949028922175,0.135699701767712,14.5713059126965,90,0,0,0,0,0,0,10,0,0,0,0,0,60,40,0,0
"Alcippe_chrysotis",-2.0687000723932,0.323317068126855,-0.28219388622084,14.5654407960067,40,0,0,0,0,0,30,0,30,0,0,0,0,80,20,0,0
"Alcippe_morrisonia",-1.37310094352914,0.309074476727447,0.0207266045476695,15.2072944584108,60,0,0,0,0,0,20,0,20,0,0,0,0,20,80,0,0
"Alcippe_nipalensis",-1.41303771328036,0.34436554814718,0.0676864210977248,13.6343357045732,40,0,0,0,0,0,30,30,0,0,0,0,0,50,50,0,0
"Alectoris_barbara",1.73857497935141,0.369422334312741,0.52071773054139,14.692332491565,10,0,0,0,0,0,20,0,20,50,0,0,80,20,0,0,0
"Alectoris_chukar",1.64405053048927,0.43932949601628,0.740268159018372,16.5280175915178,20,0,0,0,0,0,0,0,10,70,0,0,100,0,0,0,0
"Alectoris_graeca",1.73923724371484,0.457324673080409,0.812533323253016,14.3641163974424,30,0,0,0,0,0,0,0,0,70,0,0,100,0,0,0,0
"Alectoris_rufa",1.65262567844396,0.642404857399748,0.689714035458177,14.5713059126965,10,0,0,0,0,0,10,0,20,60,0,0,100,0,0,0,0
"Alectrurus_risora",-0.300812307534452,0.0827623171404142,-0.303152298881843,14.1745747132498,100,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0
"Alectrurus_tricolor",-0.964499470552763,-0.229839245214379,-0.0269065664585002,14.2816727778821,100,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0
"Alophoixus_pallidus",0.0927672546629573,0.111455830965795,-0.0796813012409735,14.6225991836022,20,0,0,0,0,0,70,10,0,0,0,0,0,0,100,0,0
"Alopochelidon_fucata",-1.61668050740078,0.520397053936283,0.0449571592475111,15.4359952439613,100,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0
"Amadina_erythrocephala",-0.590510324793407,-0.617537975672766,0.146917225100396,14.8457426456854,50,0,0,0,0,0,0,0,50,0,0,0,100,0,0,0,0
