Jetz species,Jetz_species_modified,Individuals,Count_F,Count_M,Count_U,Bill_TotalCulmen,Bill_Nares,Bill_Width,Bill_Depth,Tarsus_Length,Kipp's_Distance,Secondary1,Wing_Chord,Hand-Wing Index (Claramunt 2011),Tail_Length,Mass,Habitat,Inferred species?,Species inferred from,Inferred traits?,Traits inferred,Species traits inferred from
Abeillia abeillei,Abeillia_abeillei,4,2,2,0,13.05,9.5,1.05,1.75,6.7,30.5,15.5,46,66.3356974,29,2.7,2,NO,,NO,,
Abroscopus albogularis,Abroscopus_albogularis,5,2,2,1,9.616,4.9,2.85,2.325,16.113,5.7,37.3,45.1,13.26052672,45.2,4.84,1,NO,,NO,,
Abroscopus schisticeps,Abroscopus_schisticeps,4,3,1,0,8.95,4.675,2.6,2.325,16.525,7.6,39.525,47.125,16.12581814,47.5,4.7,1,NO,,NO,,
Abroscopus superciliaris,Abroscopus_superciliaris,4,2,2,0,12.325,7.375,3.2,2.875,16.5,6.475,44.525,51,12.68955138,41.25,6.48,1,NO,,NO,,
Aburria aburri,Aburria_aburri,8,4,4,0,36.24,16.62125,9.265,10.2525,64.9325,50,284.5,334.5714286,14.97944068,287.625,1405.08,1,NO,,NO,,
Acanthagenys rufogularis,Acanthagenys_rufogularis,4,1,3,0,24.925,11.275,3.725,4.975,25.125,24.975,82.775,107.75,23.19669714,112.5,47.8,2,NO,,NO,,
Acanthidops bairdii,Acanthidops_bairdii,4,1,3,0,16.23333333,10.8,3.85,5.3,20.925,11.275,54.725,66,17.07139927,52.125,16,1,NO,,NO,,
Acanthisitta chloris,Acanthisitta_chloris,5,2,2,1,12.2,6.325,2.625,2.375,18.74,6.175,38.075,47,13.94366685,23.4,6.91,1,NO,,NO,,
Acanthiza apicalis,Acanthiza_apicalis,4,2,2,0,10.6,5.925,2.375,2.8,18.375,7.15,43.225,50.375,14.18388953,46.5,7.62,2,NO,,NO,,
Acanthiza chrysorrhoa,Acanthiza_chrysorrhoa,5,2,2,1,11.78,6.25,2.3,2.7,18.02,9.1,49.15,58.34,15.58153715,38.92,9.29,2,NO,,NO,,
