"","City_1","Country","Continent","biome","realm","Survey_method","Longitude","Latitude","X_Behrmann","Y_Behrmann","Prec","Tmin","NDVI","Elev","road_density","city_age","gdp","area","shape_ind","dist_rivers","dist_coasts","dist_mounta"
"1","Aanekoski","Finland","Europe","Boreal Forests/Taiga","Palearctic","Study_plot_mapping",25.7279,62.6015,2482389.36966704,6512433.59801226,14.625,-17.5625,-0.0097625,118,3.9316372025,37,9.09659773111343,2291463.614561,0.209107653491153,127.872412654353,131.243194162905,380.465082850203
"2","Ain_Beida","Algeria","Africa","Mediterranean Forests, Woodlands & Scrub","Palearctic","Point_counts",7.392777778,35.79638889,713301.628520708,4281863.6197817,48.5,2.04999998637608,0.21952399697816,986.928571428571,0.237832572142857,75,8.40187847614289,11851700.5675324,0.387138417839466,755.775440831478,117.658117969219,52.27800733916
"3","Asuncion","Paraguay","America","Tropical & Subtropical Grasslands, Savannas & Shrublands","Neotropic","Point_counts",-57.5759,-25.2637,-5555284.42309759,-3122085.59032896,25.4375,10.7330356325422,0.396745535714286,103.142857142857,10.5974545745536,479,16.1278944270951,95666868.8294274,0.182080747424418,3.32282962977434,806.594650754203,439.391485263686
"4","Belem","Brazil","America","Tropical & Subtropical Moist Broadleaf Forests","Neotropic","Transects",-48.4902,-1.4557,-4678639.02662202,-185688.9924913,146.696721311475,23.9983606494841,0.416502459016393,2.91452991452991,5.87406737034188,399,31.9818168233653,115880600.087587,0.0916578603486899,192.843904606454,0.836889389030481,1073.41590185345
"5","Bernal","Mexico","America","Deserts & Xeric Shrublands","Nearctic","Point_counts",-99.9423,20.7379,-9643060.76671917,2589664.63441941,4,7.55999994277954,0.25474,2101.2,5.57973027,368,8.69137744903566,1427198.91485882,0.248538049710522,40.5663394182833,245.070929987973,172.815720931622
"6","Biala_Podlaska","Poland","Europe","Temperate Broadleaf & Mixed Forests","Palearctic","Study_plot_mapping",23.11666667,52.03333333,2230441.17878818,5778555.82553789,41,-6.11818170547486,0.260405963345308,163.363636363636,6.98835758727273,343,15.036734754389,9816859.24525502,0.110107138401644,17.8136656562167,287.432408621401,188.505860108689
"7","Bialystok","Poland","Europe","Temperate Broadleaf & Mixed Forests","Palearctic","Study_plot_mapping",23.14555556,53.13527778,2233228.56032486,5864695.13467155,38.0735294117647,-6.70735288367552,0.31452415930021,163.985294117647,5.65205884558824,321,19.9395359964932,59663207.5995753,0.110110734692821,62.7078620841381,229.603048394052,273.116603445813
"8","Bydgoszcz","Poland","Europe","Temperate Broadleaf & Mixed Forests","Palearctic","Study_plot_mapping",18.00027778,53.12194444,1736779.84647507,5863665.7107425,33.6896551724138,-3.74827586645368,0.267703371335759,65.3333333333333,7.78464567011494,667,18.4757838304015,72093280.739491,0.0557315872225374,13.718682307246,114.744597547363,232.282680190408
"9","Ciudad_Juarez","Mexico","America","Deserts & Xeric Shrublands","Nearctic","Study_plot_mapping",-106.4833333,31.73333333,-10274180.7388334,3849260.10168548,5.98905109489051,3.50109489990847,0.10426496350365,1161.01824817518,17.0426203743066,356,40.926732919512,241020315.709143,0.0472668225091559,2.52600616471455,578.737546334038,55.5651410932732
"10","Czestochowa","Poland","Europe","Temperate Broadleaf & Mixed Forests","Palearctic","Study_plot_mapping",19.11666667,50.8,1844496.05778459,5679624.37469579,41.8681318681319,-4.40769239572378,0.254005528590572,268.175824175824,4.32793863846154,643,18.8971709576282,72025136.8412927,0.0425226317510212,0.938060340979145,277.359949222676,77.1965142618184
"11","Durango","Mexico","America","Deserts & Xeric Shrublands","Nearctic","Transects",-104.6552778,24.02444444,-10097798.4635462,2978057.43300318,0.98876404494382,5.13707863346914,0.157282249126444,1903.24719101124,17.825481661236,445,35.175706563371,74207599.6041917,0.128988193933383,3.36250554285068,187.608814184415,120.590203512509
"12","Fresno","USA","America","Temperate Grasslands, Savannas & Shrublands","Nearctic","Point_counts",-119.7666667,36.75,-11555840.1679319,4380402.87559089,29.155303030303,5.13484836166555,0.298705681818182,87.6590909090909,10.5140176917045,143,34.1776950576089,225160715.242408,0.0219521501992933,12.1328492785013,174.063354685719,25.3231647465117
"13","Gdansk","Poland","Europe","Temperate Broadleaf & Mixed Forests","Palearctic","Study_plot_mapping",18.63333333,54.36666667,1797861.02168675,5958395.46347424,35.3445378151261,-3.37058823048568,0.245515872890357,50.4576271186441,6.66025272983051,750,21.2413540371394,104915593.971878,0.0365584319258752,25.721773499192,3.73663936785328,341.413272616028
"14","Gdynia","Poland","Europe","Temperate Broadleaf & Mixed Forests","Palearctic","Study_plot_mapping",18.55,54.5,1789820.49865413,5968377.42733356,36.7090909090909,-3.05818181471391,0.281455226987948,59.9347826086956,7.73419741326087,87,20.7813383615934,47651838.0599098,0.074403054504836,38.2942206861908,1.66923321255673,348.060041626701
"15","Gorzow_Wielkopolski","Poland","Europe","Temperate Broadleaf & Mixed Forests","Palearctic","Study_plot_mapping",15.25,52.73333333,1471415.77382617,5833523.60533451,45.7878787878788,-2.38181820782748,0.317116286290426,46.2121212121212,7.32653295606061,756,16.9266565496271,27512325.8700506,0.137838480925895,7.88352202437118e-06,92.0111072787481,143.553242334014
"16","Gujranwala","Pakistan","Asia","Deserts & Xeric Shrublands","Indomalayan","Point_counts",74.1945,32.1877,7158751.32007514,3898623.28941849,16.873417721519,6.70063272307191,0.309312658227848,225.113924050633,0.608735404367089,148,28.5945623826377,133361265.757938,0.0507738819286632,31.5687196473827,1051.10465634457,107.084495081514
"17","Gwangju","South Korea","Asia","Temperate Broadleaf & Mixed Forests","Palearctic","Transects",126.8526,35.1595,12239535.5141549,4215399.49461352,32.4475138121547,-0.319337021580058,0.251885635359116,35.5414364640884,9.53662839127072,2061,51.3164548610455,156994346.274169,0.0667359748166969,150.826937929159,37.9148891758692,51.3904684147295
"18","Hamina","Finland","Europe","Boreal Forests/Taiga","Palearctic","Study_plot_mapping",27.1878,60.5693,2623249.69020532,6387786.99585436,23,-15.320000076294,0.00918,5.4,6.376138116,357,10.2508532206217,1050841.26500221,0.37950265530278,106.650465893391,0.379979421099754,512.280714121142
"19","Helsinki","Finland","Europe","Boreal Forests/Taiga","Palearctic","Study_plot_mapping",24.9384,60.1699,2406213.45140896,6362339.05726051,28.96,-4.69839999008179,0.1753344,21.9583333333333,8.48265466791667,459,11.9636777209253,120918986.406124,0.037657326990239,224.830893113364,1.72651700260674,524.534365860299
"20","Inowroclaw","Poland","Europe","Temperate Broadleaf & Mixed Forests","Palearctic","Study_plot_mapping",18.26666667,52.8,1762482.71957133,5838713.54632912,34.7777777777778,-3.88888896836175,0.252802527583394,76.9444444444444,5.23291223222222,775,17.0674578878615,19014116.7741171,0.155293421763573,21.5528715324406,128.417977643525,216.885050596151
"21","Joensuu","Finland","Europe","Boreal Forests/Taiga","Palearctic","Study_plot_mapping",29.7636,62.601,2871779.05087558,6512403.93239845,42.5714285714286,-18.0928573608398,0.0333357142857143,84.5,6.7581149,168,12.6865604945591,10377191.2091136,0.196489603073217,64.441064154948,148.226823438026,386.163307166233
"22","Jyvaskyla","Finland","Europe","Boreal Forests/Taiga","Palearctic","Study_plot_mapping",25.7473,62.2426,2484261.20350391,6491012.00963639,32.7241379310345,-10.2310344761815,0.305393103448276,115.965517241379,6.03123787344828,172,11.0432399552444,25050884.5302474,0.0558408390813184,148.773895175725,109.775402726953,401.959746330844
"23","Kajaani","Finland","Europe","Boreal Forests/Taiga","Palearctic","Study_plot_mapping",27.7278,64.2222,2675352.28154081,6605968.64954402,15.6666666666667,-18.7333335876465,0.00453333333333333,151.333333333333,9.48433653666667,359,13.0903609593709,3076366.60666082,0.21986810134486,91.4050988366778,217.520058900153,290.989937797403
"24","Kathmandu","India","Asia","Temperate Broadleaf & Mixed Forests","Indomalayan","Transects",85.324,27.7172,8232595.37612749,3402950.66519976,1,1.46315789222717,0.191691228070175,1382.15789473684,12.8235215229825,2738,54.3787883624696,50293865.0791117,0.236664837167863,86.6743505369142,661.543797607706,30.8029170627454
